Date,pce,pcepricepressures,ppitottradeindu,cpiallitemcityexfoodenergy,cpiallitemcity,incomerealpersonal,ppiallcomm,cpiexfoodenergy,pceexfoodenergy,ppipulp,pricenationalhome20,pricenationalhome,cpiallitem,monbase,monm3,ratebaa,rateaaa,ratetb3m,ratenonfincp,retailexfood,ppitotretail,invneworder,invmanudgorder,invmanusales,invmanuinvtosales,invmanu,invtotalinvtosales,houspermits,housstartsMW,housstartsW,housstartsS,housstartsNE,empchicago_activity,empunleavers,empun20plus,empun20s,empunflows,empunconst,emptotsvcs,emptemphelp,empunemp,empunwks_27plus,empunwks_average,empunwks_median,empunlevel,empunrate,empcons,empgov,emptp,empft,manu,iput,ipmin,ipnm,ipdm,ipman,ipngm,ipdgm,ipm,ipbe,ipncs,ipdcg,ipcg,ippt,ipti
2007-01-01,9516.3,0.07169684,102.2,113.755,117.33,13033.906,164.0,208.6,91.584,153.4,203.74411624678902,182.723,203.437,843.4989999999999,7095500000000.0,6.34,5.4,4.98,5.17,0.1,102.3,64015.0,221030.0,-6.3,1.35,522842,1.31,1626.0,191.0,328.0,712.0,178.0,-0.03,11.2,4.1,8.1,1917,8.9,115038,2652.7,4.9,1141,16.3,8.3,7116,4.6,7725,22095,115382,15447.6,78.6184,99.4937,85.4419,112.4389,98.9264,107.0457,109.6122,93.5439,94.4205,92.984,112.3049,114.5052,112.9846,105.4533,101.1293
2007-02-01,9546.8,0.08296487,102.4,114.27600000000001,117.87700000000001,13096.338,166.8,209.135,91.787,156.7,204.071634805019,182.475,204.226,847.26,7111300000000.0,6.28,5.39,5.03,5.18,0.2,101.9,63882.0,223217.0,2.2,1.34,530201,1.3,1598.0,163.0,384.0,796.0,137.0,-0.17,12.2,4.0,7.6,1833,10.5,115224,2642.9,4.8,1249,16.7,8.5,6927,4.5,7626,22131,115427,15479.3,78.7274,105.6755,86.3198,112.4106,99.7083,107.4548,111.0717,95.9795,95.8639,95.4681,112.5284,122.5788,114.9734,107.4783,102.6892
2007-03-01,9585.1,0.34459469,102.7,114.62299999999999,118.913,13147.948999999999,169.3,209.418,91.868,157.3,203.93254041787398,182.196,205.28799999999998,848.177,7145100000000.0,6.27,5.3,4.94,5.2,0.8,102.5,66935.0,229902.0,14.6,1.16,528094,1.28,1596.0,234.0,378.0,752.0,131.0,0.22,11.5,3.9,7.7,1701,9.0,115402,2646.7,4.6,1245,17.8,9.1,6731,4.4,7706,22149,115644,15547.7,79.2421,100.759,86.32,112.722,101.2156,108.3845,113.4398,100.7961,97.2706,98.6828,110.0009,126.1709,113.8191,107.5884,103.8859
2007-04-01,9615.7,0.35595926,103.1,114.831,119.666,13151.498,171.4,209.747,91.973,158.8,202.883274587365,182.134,205.90400000000002,848.954,7217400000000.0,6.39,5.47,4.87,5.2,-0.3,103.5,66049.0,231627.0,-5.2,1.24,535900,1.28,1470.0,206.0,386.0,732.0,166.0,-0.43,10.8,3.9,7.8,1763,8.6,115492,2629.6,4.7,1206,16.9,8.6,6850,4.5,7686,22175,115667,15513.2,79.5615,102.3786,86.5188,112.8986,102.3839,109.1097,114.7773,99.0309,96.3714,98.5802,107.3233,124.036,111.2587,106.0274,102.8756
2007-05-01,9651.3,0.10634512,104.6,114.77600000000001,120.292,13144.673,173.3,210.058,92.069,160.9,201.037640060604,181.888,206.755,849.602,7231000000000.0,6.39,5.47,4.73,5.19,1.4,105.7,64811.0,228551.0,6.7,1.18,541981,1.28,1493.0,243.0,326.0,688.0,158.0,0.05,11.0,3.9,7.2,1712,6.9,115670,2611.4,4.7,1132,16.6,8.2,6766,4.4,7673,22193,115800,15534.5,79.2863,102.5801,87.1833,112.6408,102.4769,109.0226,114.7749,99.8875,97.5014,99.5792,108.098,124.2393,111.9046,106.86,103.9157
2007-06-01,9667.3,0.06425448,104.4,114.785,120.439,13127.988000000001,173.8,210.392,92.219,161.1,198.84862788936695,181.545,207.234,851.155,7264200000000.0,6.7,5.79,4.61,5.23,-0.9,106.6,64999.0,229061.0,2.0,1.15,538683,1.28,1407.0,232.0,349.0,708.0,159.0,-0.08,11.9,4.0,8.0,1774,5.9,115746,2604.3,4.8,1143,16.5,7.7,6979,4.6,7687,22207,115862,15513.9,79.3576,100.7012,86.7229,112.7364,103.1178,109.3919,116.232,103.8982,100.2676,101.3981,111.9045,128.3729,115.7894,110.1762,107.0333
2007-07-01,9709.6,0.05492773,104.4,114.887,120.37700000000001,13134.159,175.1,210.773,92.368,163.2,196.845998637551,181.0,207.60299999999998,851.852,7294500000000.0,6.65,5.73,4.82,5.22,0.4,106.3,65147.0,234576.0,-9.8,1.29,545314,1.29,1361.0,237.0,331.0,638.0,148.0,-0.3,11.5,4.2,8.3,1843,5.9,115761,2593.1,4.9,1291,17.2,8.7,7149,4.7,7660,22171,115867,15515.0,79.2481,99.5929,86.6836,113.0266,103.1502,109.4914,115.5461,96.1684,97.4298,95.7163,112.2656,108.4458,111.5643,105.9056,103.7309
2007-08-01,9753.9,0.01099806,104.4,115.163,120.288,13137.613000000001,172.4,211.11900000000003,92.50299999999999,163.7,194.891155267066,180.242,207.667,853.398,7370900000000.0,6.65,5.79,4.2,5.25,0.5,104.7,66192.0,234833.0,10.6,1.17,546612,1.28,1321.0,239.0,298.0,695.0,98.0,-0.37,11.3,4.1,8.4,1714,5.3,115850,2586.7,4.9,1246,17.0,8.8,7067,4.6,7610,22226,115789,15517.1,78.8546,104.3166,86.7103,112.1669,103.3518,109.2009,115.277,102.1093,100.5205,99.9906,114.759,123.8588,116.9786,110.7659,107.201
2007-09-01,9797.9,0.00161467,103.8,115.46700000000001,120.63799999999999,13165.169,173.5,211.554,92.742,163.8,193.126617654991,179.12900000000005,208.547,851.454,7389200000000.0,6.59,5.74,3.89,4.92,0.4,104.8,65178.0,226029.0,-2.7,1.2,548883,1.28,1261.0,174.0,273.0,592.0,144.0,-0.13,11.5,4.1,9.0,1795,5.8,116002,2557.0,4.9,1264,16.3,8.7,7170,4.7,7577,22279,115816,15523.3,79.0695,104.3833,86.8485,112.7607,103.849,109.7146,116.0423,104.7568,100.1574,101.7931,111.7489,122.6134,114.3607,109.6871,106.7223
2007-10-01,9827.0,0.06367707,105.1,115.81299999999999,120.885,13139.628999999999,174.7,212.077,92.963,165.4,190.98169280972698,177.53799999999995,209.19,856.4110000000001,7402800000000.0,6.48,5.66,3.9,4.63,0.6,105.9,65144.0,229287.0,3.3,1.18,554393,1.27,1192.0,203.0,277.0,625.0,159.0,-0.25,10.8,4.2,8.6,1818,6.1,116118,2568.0,4.9,1298,17.0,8.4,7237,4.7,7565,22297,115877,15518.4,78.6689,103.1117,86.5668,111.9336,103.9041,109.3471,114.8144,103.0091,98.587,101.3478,108.8828,123.3659,112.3029,108.1876,104.9733
2007-11-01,9897.8,0.24423922,104.3,115.802,121.48100000000001,13127.498,179.0,212.66,93.134,166.0,187.906283830493,175.17,210.834,857.433,7427800000000.0,6.4,5.44,3.27,4.42,1.1,105.6,65239.0,231388.0,-3.5,1.23,556538,1.26,1224.0,213.0,256.0,598.0,130.0,-0.07,10.6,4.2,8.3,1725,6.2,116269,2553.5,4.9,1374,17.3,8.6,7240,4.7,7523,22334,115950,15578.9,79.0171,103.1766,87.5963,112.0572,104.9756,109.9511,114.4476,102.3562,98.5899,101.5293,107.9683,119.5409,110.7326,107.4399,104.4973
2007-12-01,9908.4,0.43967291,103.9,115.62700000000001,121.295,13177.454,178.6,213.168,93.319,167.3,185.10177713539397,173.345,211.445,847.37,7458000000000.0,6.65,5.49,3.0,4.23,-1.4,104.5,68163.0,242350.0,-1.9,1.23,547047,1.28,1149.0,139.0,221.0,571.0,106.0,-0.3,10.2,4.4,9.4,1866,9.4,116416,2541.9,5.2,1324,16.6,8.4,7645,5.0,7490,22376,116016,15577.4,79.022,101.1919,88.2566,112.0485,105.251,110.079,112.8335,101.1262,98.8067,100.7134,109.9907,112.7913,110.7918,107.3351,104.5292
2008-01-01,9930.0,0.4316673,105.2,116.008,121.867,13188.347,181.0,213.771,93.51899999999999,172.1,182.142335910309,171.083,212.174,851.3689999999999,7491800000000.0,6.54,5.33,2.75,3.25,0.4,105.7,68229.0,239668.0,-3.0,1.31,565316,1.27,1094.0,160.0,243.0,551.0,130.0,-0.16,10.9,4.4,8.9,1780,11.0,116456,2548.8,5.3,1388,17.5,9.0,7685,5.0,7476,22388,116015,15568.5,78.6449,102.4453,87.8222,111.0493,105.2952,109.6443,111.9247,98.7667,98.219,100.2654,110.703,113.3443,111.4692,107.5129,103.7722
2008-02-01,9913.4,0.41526721,105.1,116.426,122.25,13195.34,182.7,213.93900000000002,93.62100000000001,171.6,178.55316579067403,169.196,212.687,857.1039999999999,7576500000000.0,6.82,5.53,2.12,2.72,-0.8,105.1,66452.0,234718.0,2.5,1.29,571742,1.28,1014.0,152.0,245.0,580.0,126.0,-0.34,10.6,4.3,9.0,1817,11.4,116427,2505.9,5.1,1329,16.9,8.7,7497,4.9,7453,22417,115907,15527.5,78.0854,103.8826,87.9508,110.0052,104.856,108.9471,111.0821,100.0735,98.2572,101.4786,108.8319,118.3478,111.1312,107.59,103.6503
2008-03-01,9959.4,0.4394786,105.2,116.92,123.323,13202.006000000001,187.9,214.42,93.829,170.6,175.09165948024201,167.908,213.44799999999998,860.66,7642500000000.0,6.89,5.51,1.26,2.35,0.2,105.2,66337.0,232240.0,7.1,1.21,572186,1.28,967.0,136.0,228.0,526.0,115.0,-0.37,10.3,4.6,9.4,2005,12.0,116455,2485.8,5.3,1323,16.5,8.7,7822,5.1,7406,22443,115832,15534.5,77.8538,103.0502,88.4015,109.3938,104.8094,108.6071,111.5219,103.6298,99.2256,102.6316,106.7063,115.4125,108.821,106.4735,104.0311
2008-04-01,9996.8,0.28125992,106.6,117.031,124.116,13160.788,190.9,214.56,93.912,171.2,172.446835007472,167.327,213.942,855.6510000000001,7685200000000.0,6.97,5.55,1.29,1.99,-0.1,107.4,69555.0,230662.0,0.2,1.21,574640,1.27,1008.0,168.0,242.0,510.0,93.0,-0.52,11.1,4.4,8.7,1915,11.1,116354,2463.2,5.2,1372,16.9,9.4,7637,5.0,7327,22450,115585,15433.6,76.9984,103.1106,88.8212,108.5543,103.3578,107.39,111.3824,101.0982,97.8081,101.5242,104.4441,114.4191,106.8376,104.9512,102.5509
2008-05-01,10053.8,0.46312973,107.0,117.09299999999999,125.171,13704.098,196.6,214.93599999999998,94.103,171.2,169.565872053456,167.025,215.208,860.678,7697100000000.0,6.93,5.57,1.73,2.0,0.9,106.6,68572.0,230680.0,3.1,1.18,577399,1.26,995.0,137.0,215.0,496.0,125.0,-0.56,10.3,4.8,10.2,2054,8.6,116259,2428.0,5.7,1561,16.6,7.9,8395,5.4,7274,22483,115375,15379.2,76.6499,101.8661,88.6455,108.1126,102.7837,106.8004,110.3757,100.1061,97.4786,101.722,104.449,110.8911,106.0555,104.5015,102.26
2008-06-01,10107.9,0.34364758,108.5,117.242,126.307,13359.533000000001,200.5,215.424,94.29899999999999,171.8,167.179395001247,166.544,217.463,863.888,7714600000000.0,7.07,5.68,1.86,2.21,0.1,107.9,67759.0,228442.0,4.0,1.13,576415,1.25,1180.0,133.0,205.0,472.0,236.0,-0.6,10.0,4.9,10.0,1996,8.2,116204,2403.1,5.8,1576,17.1,9.0,8575,5.6,7213,22517,115170,15342.8,76.1762,103.3527,89.2935,106.8543,102.4994,106.0871,110.0596,103.8662,100.0011,103.3183,108.0348,114.2568,109.5979,107.3457,105.0048
2008-07-01,10104.7,0.6524153,109.1,117.53200000000001,126.91799999999999,13138.288,205.5,215.965,94.43,174.0,164.401702235922,165.722,219.016,871.637,7761000000000.0,7.16,5.67,1.63,2.18,-0.5,109.1,67754.0,220810.0,-6.5,1.22,583555,1.26,921.0,151.0,179.0,432.0,161.0,-0.65,9.9,5.1,10.2,1967,8.0,116131,2369.5,6.1,1664,17.0,9.7,8937,5.8,7160,22568,114923,15307.4,75.3169,101.9588,91.552,106.2007,100.7807,104.8483,107.4623,95.5195,97.517,96.6348,108.8216,98.8237,106.7752,103.5578,102.1366
2008-08-01,10094.7,0.62615139,110.1,117.82600000000001,126.594,13054.138,199.0,216.393,94.54299999999999,174.8,162.114128984821,164.28799999999995,218.69,872.297,7776000000000.0,7.15,5.64,1.72,2.08,-0.8,109.2,66479.0,216342.0,1.2,1.21,585642,1.29,858.0,126.0,185.0,397.0,136.0,-0.68,10.8,5.5,10.7,2288,8.2,115963,2338.8,6.3,1866,17.7,9.7,9438,6.1,7114,22567,114646,15249.0,74.4409,98.2522,90.1448,105.1591,99.3033,103.5592,106.893,99.0845,97.7749,97.7679,110.2142,104.4213,109.1071,105.4685,102.9055
2008-09-01,10043.5,0.47294003,110.2,118.06299999999999,126.551,13067.915,196.9,216.713,94.66799999999999,174.8,159.116317040441,161.921,218.877,936.4910000000001,7845900000000.0,7.31,5.65,1.13,2.13,-1.7,109.5,63556.0,211692.0,-2.2,1.22,573742,1.31,797.0,140.0,168.0,398.0,114.0,-0.96,10.3,5.5,11.0,2140,9.9,115652,2305.9,6.4,2027,18.6,10.2,9494,6.1,7044,22537,114216,15178.6,71.8392,100.1978,80.0449,101.408,95.7217,99.9841,98.277,99.4763,91.129,90.3101,106.1683,103.9223,105.848,101.2269,97.7563
2008-10-01,9960.3,0.52057635,110.8,118.204,125.5,13131.123,186.4,216.78799999999998,94.59299999999999,173.3,156.298205956588,159.16899999999995,216.995,1142.1860000000001,7954000000000.0,8.88,6.28,0.67,2.07,-4.1,109.4,59439.0,192688.0,-4.5,1.26,569710,1.36,736.0,124.0,162.0,414.0,77.0,-0.96,9.2,5.9,10.8,2259,10.8,115377,2231.2,6.8,2280,19.9,10.4,10074,6.5,6967,22549,113723,15100.8,71.5226,100.8976,86.9534,103.5469,93.0863,99.3466,102.1477,94.4929,92.2031,87.6754,105.5693,102.3626,105.0306,99.963,97.3303
2008-11-01,9820.8,0.12853003,110.7,117.986,123.044,13211.827,176.8,216.947,94.6,166.7,153.660114932743,156.077,213.153,1480.773,8004600000000.0,9.21,6.12,0.19,1.45,-4.3,109.6,60513.0,182787.0,-14.9,1.46,560353,1.44,626.0,107.0,135.0,351.0,59.0,-1.39,8.7,6.2,11.2,2506,12.7,114922,2127.1,7.2,2219,18.9,9.8,10538,6.8,6813,22560,112985,14989.4,69.8857,102.2771,88.945,101.5207,90.4851,96.9789,97.0742,88.3851,90.0924,88.4059,105.2955,95.0445,103.1628,98.922,95.2745
2008-12-01,9730.7,5.819e-05,111.5,117.62299999999999,121.557,13121.721000000001,170.9,216.925,94.58,164.4,150.729484592279,152.55100000000004,211.398,1669.269,8181000000000.0,8.43,5.05,0.03,0.97,-2.4,109.5,55732.0,172687.0,-1.5,1.4,529148,1.47,554.0,79.0,135.0,283.0,63.0,-1.54,8.8,6.7,12.3,2519,15.3,114517,2050.5,7.7,2610,19.9,10.5,11286,7.3,6701,22556,112283,14876.9,67.5005,101.846,87.1698,97.8597,87.3444,93.6241,90.1131,82.5684,87.1661,88.3342,106.678,88.4834,102.7431,98.5163,93.1596
2009-01-01,9783.8,6.037e-05,110.0,117.954,122.095,12971.02,171.2,217.34599999999998,94.57799999999999,157.9,147.718260068978,149.369,211.933,1730.1689999999999,8262400000000.0,8.14,5.05,0.13,0.31,1.6,107.7,49523.0,155015.0,-10.7,1.59,536116,1.48,545.0,59.0,141.0,254.0,36.0,-1.81,7.5,7.2,12.5,2755,18.2,114166,1967.0,8.2,2699,19.8,10.7,12058,7.8,6567,22579,111476,14794.5,65.511,101.7223,86.5903,97.7258,82.3837,90.7731,91.3245,76.3798,85.55,81.7838,107.4705,79.7485,101.3651,95.5138,90.552
2009-02-01,9766.0,0.01076717,110.7,118.348,122.598,12813.805,169.3,217.792,94.679,154.4,145.616136214985,147.625,212.705,1590.1660000000002,8291600000000.0,8.08,5.27,0.3,0.48,-0.3,107.6,50247.0,146293.0,1.1,1.56,532835,1.45,558.0,95.0,113.0,311.0,63.0,-1.47,6.5,7.7,13.2,2834,21.4,113737,1898.3,8.8,2999,20.2,11.7,12898,8.3,6446,22576,110736,14719.4,65.571,98.8205,85.3831,98.1439,81.9744,90.6399,93.2705,76.7444,85.1941,82.309,104.6444,84.6139,100.2822,94.6605,89.7932
2009-03-01,9718.5,0.00403739,111.6,118.807,122.803,12778.19,168.1,218.253,94.77600000000001,152.7,142.696664785547,146.52200000000005,212.495,1668.491,8357600000000.0,8.42,5.5,0.21,0.37,-1.8,108.6,48959.0,144866.0,9.9,1.4,522704,1.47,513.0,96.0,79.0,264.0,66.0,-1.62,6.6,8.1,14.0,2647,21.1,113285,1835.8,9.1,3260,20.9,12.3,13426,8.7,6291,22560,109952,14650.7,64.5006,100.1259,83.4544,97.0317,80.02,88.9612,92.1652,76.582,83.8362,81.6589,103.2131,86.0826,99.507,93.6399,88.8336
2009-04-01,9724.8,0.00014632,111.7,119.04,123.053,12837.219,169.1,218.706,95.00299999999999,148.6,141.564504409201,146.95,212.709,1787.713,8360700000000.001,8.39,5.39,0.16,0.28,0.4,108.1,47043.0,145613.0,-5.3,1.46,519216,1.46,521.0,86.0,112.0,230.0,50.0,-1.38,6.3,8.4,14.4,2484,18.7,112923,1778.1,9.4,3752,21.7,13.1,13853,9.0,6154,22677,109140,14563.1,64.1729,99.6708,82.1243,96.8572,79.1349,88.3483,93.3164,73.4389,81.8588,78.8518,98.9321,84.3599,95.8,90.2237,86.373
2009-05-01,9748.9,0.00235506,110.9,119.023,123.427,13027.964,170.8,218.90400000000002,95.09700000000001,144.2,140.846233394287,148.17700000000005,213.02200000000002,1799.2279999999998,8418200000000.001,8.06,5.54,0.18,0.23,1.0,107.6,48777.0,150082.0,1.1,1.44,517150,1.43,556.0,79.0,132.0,273.0,56.0,-0.88,6.2,8.7,15.0,2649,19.2,112820,1773.7,9.9,3973,22.4,14.2,14499,9.4,6100,22617,108858,14558.3,63.585,98.301,81.8477,97.0107,77.3517,87.4186,94.6764,73.0573,82.2783,77.882,99.698,81.1271,95.6424,89.9131,86.5837
2009-06-01,9806.9,0.00555078,111.8,119.115,124.485,12825.058,174.1,219.112,95.214,142.0,141.293655309199,149.80200000000005,214.79,1704.0120000000002,8427799999999.999,7.5,5.61,0.18,0.26,1.9,108.6,50508.0,146586.0,7.4,1.31,505822,1.38,601.0,104.0,124.0,277.0,80.0,-0.84,5.6,8.8,15.1,2550,17.4,112586,1753.8,10.0,4349,23.9,17.2,14707,9.5,6010,22576,108432,14541.0,63.4662,97.4638,81.6057,97.2297,76.6574,87.1335,96.4241,74.4475,84.4329,78.6992,102.9063,82.0274,98.3204,91.8845,88.835
2009-07-01,9841.7,0.00670835,112.2,119.169,124.29299999999999,12774.081,172.5,219.263,95.291,142.5,142.252305574215,150.749,214.726,1693.7479999999998,8432500000000.0,7.09,5.41,0.18,0.28,0.2,108.6,51053.0,155213.0,-7.0,1.42,507485,1.36,595.0,110.0,126.0,297.0,61.0,-0.6,6.1,8.8,15.1,2463,18.2,112390,1762.3,9.9,4917,25.1,16.0,14601,9.5,5932,22521,108147,14488.9,64.5819,96.1412,82.4248,97.0013,79.3327,88.4208,95.7478,72.1924,83.8899,76.6474,102.8013,80.2105,97.8144,91.0253,88.1548
2009-08-01,9961.0,3.934e-05,111.4,119.4,124.62,12743.854,175.0,219.49599999999998,95.43,144.9,143.474993651558,150.665,215.445,1728.132,8432200000000.001,6.58,5.26,0.17,0.24,2.1,107.8,50126.0,158266.0,5.3,1.34,505628,1.32,616.0,104.0,127.0,286.0,69.0,-0.53,5.7,8.9,15.2,2560,16.5,112334,1758.7,10.0,5037,25.3,16.3,14814,9.6,5855,22537,107948,14480.5,65.4557,97.1817,83.3553,97.9443,80.4696,89.424,97.7268,77.0537,86.8191,79.7978,105.8827,89.8824,102.4227,94.9822,91.2496
2009-09-01,9883.4,9.647e-05,111.4,119.694,124.706,12763.787,174.1,219.92,95.605,148.9,144.07337245294,149.625,215.861,1819.75,8431500000000.0,6.31,5.13,0.12,0.19,-2.6,108.6,52991.0,157059.0,3.2,1.28,498223,1.32,609.0,105.0,117.0,297.0,66.0,-0.48,5.8,9.1,15.3,2621,17.1,112201,1778.3,10.2,5494,26.6,17.8,15009,9.8,5787,22451,107793,14450.2,66.1389,98.2802,83.1392,97.8575,81.9645,90.1996,97.301,79.9938,86.5826,79.6548,102.3747,92.6799,100.3577,93.6638,90.4921
2009-10-01,9931.9,0.00015699,111.2,119.96,124.791,12709.966,175.2,220.50099999999998,95.961,151.5,144.797126110753,148.585,216.50900000000001,1975.372,8458299999999.999,6.29,5.15,0.07,0.19,1.0,107.7,52061.0,163669.0,-0.1,1.3,504508,1.31,583.0,103.0,111.0,266.0,54.0,-0.56,5.9,9.3,15.8,2516,18.7,112130,1811.2,10.5,5643,27.5,18.9,15352,10.0,5716,22524,107521,14381.6,66.3425,100.4604,82.7501,98.193,81.9475,90.3658,97.812,79.7302,85.7102,80.9329,101.7466,93.2203,99.9933,93.8017,89.9791
2009-11-01,9940.5,0.0025182,111.6,119.677,124.788,12743.645,177.4,220.666,96.04299999999999,156.6,145.47453584645,147.94299999999996,217.234,2044.694,8488400000000.0,6.32,5.19,0.05,0.15,0.8,109.3,52778.0,160032.0,-4.3,1.36,504800,1.3,623.0,104.0,116.0,301.0,67.0,-0.07,6.1,9.2,16.0,2294,19.4,112188,1868.2,10.4,5908,28.9,19.8,15219,9.9,5696,22533,107524,14379.4,67.1284,97.4519,82.6227,98.9347,83.0104,91.2479,99.178,79.2934,85.7571,80.7437,100.8956,91.5449,98.9468,93.1836,89.6629
2009-12-01,9998.9,0.13034286,111.8,119.45100000000001,124.544,12808.646,178.1,220.88099999999997,96.10799999999999,158.6,146.24863895572,146.672,217.347,2017.35,8483400000000.0,6.37,5.26,0.05,0.16,0.6,109.3,54427.0,159766.0,3.7,1.27,491126,1.28,664.0,97.0,108.0,313.0,63.0,-0.44,6.1,9.2,15.5,2373,22.7,111996,1905.5,10.4,6122,29.7,20.1,15098,9.9,5654,22482,107306,14334.8,67.1104,102.7345,81.7665,98.2026,83.3061,91.0891,96.2127,79.0554,86.5814,80.7459,103.8991,85.9085,99.9696,93.9519,90.4641
2010-01-01,10001.8,0.11840747,112.6,119.478,124.98700000000001,12860.097,181.9,220.63299999999998,96.228,161.7,146.934020078935,145.003,217.488,2010.154,8445700000000.001,6.25,5.26,0.06,0.13,0.0,108.7,52365.0,182084.0,-7.0,1.4,503022,1.27,636.0,94.0,126.0,325.0,69.0,0.0,6.0,9.1,15.9,2228,24.7,112083,1954.6,10.4,6319,30.3,20.0,15046,9.8,5580,22491,107299,14401.0,68.0522,103.2354,83.4813,98.7584,84.8791,92.0942,97.5497,79.8949,87.8523,81.0137,105.5748,89.1708,102.0085,95.4521,91.387
2010-02-01,10030.6,0.23820213,113.2,119.705,124.97200000000001,12852.303,181.0,220.731,96.29799999999999,166.9,146.917721875114,143.056,217.28099999999998,2151.018,8495299999999.999,6.34,5.35,0.11,0.15,0.0,110.3,53386.0,177621.0,1.0,1.41,512235,1.28,650.0,109.0,139.0,286.0,70.0,-0.37,5.8,9.2,15.8,2341,27.1,112071,1965.5,10.5,6129,29.8,19.9,15113,9.8,5500,22476,107222,14397.1,68.1872,104.7664,84.9676,98.7139,84.9734,92.0494,98.976,81.3153,89.0338,81.5819,102.2793,92.9463,100.3194,94.5915,91.4674
2010-03-01,10089.1,0.03325755,113.2,119.90799999999999,125.44200000000001,12892.933,183.3,220.783,96.42200000000001,170.0,146.200752727837,143.597,217.35299999999998,2106.633,8492400000000.0,6.27,5.27,0.15,0.2,2.5,109.6,56130.0,179916.0,17.0,1.21,512074,1.26,687.0,96.0,133.0,342.0,65.0,0.09,5.9,9.2,15.8,2310,24.9,112207,1993.0,10.4,6545,31.6,20.4,15202,9.9,5537,22518,107361,14446.7,69.1653,101.2295,85.8503,99.3204,86.5642,93.1387,99.846,86.3287,90.0103,84.1362,101.1367,96.3834,100.2155,95.4258,92.6343
2010-04-01,10112.9,0.29805773,113.7,119.956,125.62,12998.264,184.4,220.822,96.456,175.4,147.06672610313402,145.4,217.403,2044.379,8522799999999.999,6.25,5.29,0.16,0.23,0.7,111.3,52604.0,186063.0,-3.6,1.27,517995,1.25,637.0,118.0,108.0,379.0,82.0,0.35,6.1,9.3,17.2,2274,21.8,112381,2021.7,10.6,6800,33.3,22.1,15325,9.9,5553,22569,107541,14427.2,69.9206,98.102,86.2974,99.6975,87.7906,93.9136,100.6411,86.0274,89.3039,84.5102,96.7633,94.4962,96.3974,93.1458,91.5249
2010-05-01,10131.0,0.30423264,114.3,119.945,125.678,13107.196000000002,184.8,220.96200000000002,96.552,186.2,147.27409250165599,147.034,217.29,2034.558,8577500000000.0,6.05,4.96,0.16,0.28,-1.0,111.8,57162.0,186327.0,0.0,1.27,519920,1.26,575.0,108.0,113.0,290.0,72.0,0.14,6.6,9.0,14.7,2349,20.1,112908,2066.1,10.3,6638,34.0,22.3,14849,9.6,5520,22996,107654,14438.6,71.0434,102.2179,86.2278,100.4743,89.5666,95.2147,101.4383,87.794,90.9875,86.716,98.9304,97.4908,98.7523,95.2503,93.38
2010-06-01,10151.4,0.0791043,112.7,119.948,125.521,13137.355,183.5,221.19400000000002,96.584,194.9,147.044228483813,147.69799999999995,217.199,2024.0770000000002,8596600000000.0,6.23,4.88,0.12,0.32,0.0,109.1,59728.0,187821.0,4.9,1.21,517544,1.27,587.0,84.0,109.0,281.0,62.0,-0.13,6.2,8.8,15.2,2164,20.1,112748,2093.8,10.1,6623,34.5,25.2,14474,9.4,5516,22740,107771,14442.1,71.0839,104.2565,86.4064,100.1433,89.6312,95.1014,103.3945,90.9641,93.8931,88.8787,102.8159,98.5357,101.9971,97.892,96.2934
2010-07-01,10184.7,0.00788724,112.4,119.958,125.536,13176.118,184.1,221.363,96.585,196.1,146.408583506448,147.556,217.605,2015.265,8606200000000.001,6.01,4.72,0.16,0.27,0.1,109.8,56453.0,190184.0,-7.1,1.32,526653,1.27,579.0,92.0,107.0,271.0,76.0,0.08,6.2,8.8,15.5,2296,17.3,112650,2097.4,10.1,6506,33.9,22.3,14512,9.4,5508,22569,107858,14449.2,71.6493,103.3602,86.9482,99.9913,90.8133,95.6597,102.2805,85.9416,92.4269,84.6134,103.5329,88.1941,100.2173,95.5937,94.5971
2010-08-01,10228.2,0.01805338,112.8,120.15799999999999,125.756,13224.463,184.9,221.50900000000001,96.67399999999999,197.0,145.541771149088,146.41899999999995,217.923,2014.724,8656500000000.0,5.66,4.49,0.16,0.25,0.6,109.6,58633.0,191625.0,6.7,1.25,529755,1.27,580.0,106.0,136.0,282.0,75.0,-0.06,5.9,8.9,14.7,2396,17.0,112629,2118.0,10.2,6259,33.7,21.0,14648,9.5,5524,22420,108002,14454.3,71.8791,103.6475,88.1953,100.4142,90.7326,95.7403,103.6116,90.4232,94.9163,88.1162,105.8568,97.2612,104.0529,99.1335,97.2627
2010-09-01,10249.0,0.0353176,113.2,120.32799999999999,125.83,13222.624,184.9,221.71099999999998,96.72200000000001,199.7,144.55529045657698,144.602,218.275,1981.247,8687700000000.001,5.66,4.53,0.15,0.24,0.8,110.0,59839.0,200257.0,1.5,1.23,530756,1.28,563.0,95.0,133.0,296.0,70.0,-0.04,5.5,8.8,14.8,2231,17.2,112570,2147.0,10.2,6163,33.4,20.3,14579,9.5,5501,22247,108110,14478.3,72.013,103.6875,89.5032,100.1661,90.9831,95.7381,103.074,92.5518,94.8159,88.1077,101.5367,96.5201,100.5205,96.6786,96.1605
